ID,Brand,Category,Model Name,Reference No.,Price (USD),Currency,Release Date,Gender,Case Material,Case Diameter (mm),Case Thickness (mm),Dial Color,Strap Material,Strap Color,Water Resistance (m),Crystal Type,Movement Type,Power Reserve (hours),Complications,Availability,Warranty (Years),Country of Origin
44716,Swatch,Fashion,MoonSwatch,SW92753,5608.44,USD,12/04/2025,Unisex,Stainless Steel,40.3,11.2,Black,Leather,Blue,300,Mineral,Quartz,70,GMT,In Stock,5,Switzerland
44717,Fossil,Fashion,Gen 6,FO44010,10741.06,USD,02/10/2022,Women's,Stainless Steel,37.2,9.4,Black,Leather,Silver,200,Sapphire,Smart,80,World Time,Out of Stock,5,USA
44718,Citizen,Eco-Drive,Promaster,CI14921,11401.21,USD,18/01/2023,Men's,Titanium,32.2,7.8,Gold,Canvas,Gold,300,Plastic,Solar Powered,40,Chronograph,In Stock,4,Japan
44719,Orient,Classic,Bambino,OR40004,4309.67,USD,29/07/2022,Women's,Bronze,40.2,11.8,Black,Mesh Steel,Brown,30,Plastic,Automatic,0,None,Out of Stock,2,Japan
44720,Timex,Casual,Weekender,TI40257,9771.15,USD,27/03/2022,Unisex,Stainless Steel,40.8,8.2,Black,Mesh Steel,Black,200,Hardlex,Quartz,80,Chronograph,Limited Stock,3,USA
44721,Hublot,Luxury,Big Bang,HU20016,1520.36,USD,29/07/2021,Women's,Bioceramic,45,11.7,Gray,Silicone,Green,100,Mineral,Automatic,70,None,Pre-Order,3,Switzerland
44722,Seiko,Sports,Prospex,SE96791,5109.95,USD,20/05/2022,Women's,Aluminum,44.1,12.6,Gray,Leather,Silver,200,Mineral,Quartz,40,World Time,Pre-Order,3,Japan
44723,Swatch,Fashion,MoonSwatch,SW68582,11269.07,USD,22/08/2021,Unisex,Aluminum,45.2,10.6,Black,Mesh Steel,Brown,50,Gorilla Glass,Quartz,40,None,Pre-Order,5,Switzerland
44724,Rolex,Luxury,Oyster Perpetual,RO69932,1765.96,USD,10/04/2021,Unisex,Aluminum,43.8,7.6,Black,Canvas,Gold,50,Mineral,Automatic,0,World Time,Limited Stock,4,Switzerland
44725,Montblanc,Luxury,1858 Geosphere,MO37276,10423.78,USD,11/02/2025,Unisex,Bronze,33.8,6.9,Blue,Canvas,Green,50,Hardlex,Automatic,70,World Time,Pre-Order,4,Switzerland
44726,Apple,Smartwatch,Watch Series,AP46317,5601.09,USD,29/09/2020,Men's,Aluminum,33.4,14.9,Silver,Rubber,Gold,50,Plastic,Smart,80,World Time,Out of Stock,5,China
44727,Seiko,Sports,Prospex,SE66990,14935.2,USD,12/05/2025,Women's,Resin,40.3,11.6,Black,Leather,Green,30,Hardlex,Quartz,60,Moonphase,Pre-Order,1,Japan
44728,Garmin,Smartwatch,Fenix,GA72972,8132.38,USD,17/02/2025,Women's,Resin,39.8,11.8,Gold,Canvas,Gold,50,Hardlex,Digital,60,None,Out of Stock,2,Taiwan
44729,Orient,Classic,Bambino,OR12174,14732.09,USD,18/02/2023,Men's,Bronze,40.9,12.5,Gold,Nylon,Brown,300,Hardlex,Automatic,60,GMT,In Stock,4,Japan
44730,Casio,Digital,G-Shock,CA34727,9166.09,USD,26/08/2024,Women's,Ceramic,44.1,13,Green,Rubber,Gold,30,Mineral,Digital,0,Chronograph,Pre-Order,1,Japan
44731,Garmin,Smartwatch,Fenix,GA55745,11237.75,USD,24/01/2022,Men's,Aluminum,44.3,8.4,Red,Silicone,Gold,100,Hardlex,Digital,60,World Time,Out of Stock,3,Taiwan
44732,Montblanc,Luxury,1858 Geosphere,MO10221,8336.65,USD,16/12/2023,Unisex,Stainless Steel,36.4,8.8,Silver,Silicone,Silver,30,Mineral,Automatic,60,None,In Stock,1,Switzerland
44733,Omega,Dress,Speedmaster,OM19569,10408.74,USD,11/12/2023,Unisex,Ceramic,37,11.7,White,Leather,Blue,50,Plastic,Automatic,40,Date,Pre-Order,5,Switzerland
44734,Garmin,Smartwatch,Fenix,GA26052,8362.59,USD,15/09/2022,Women's,Stainless Steel,43.7,10,Gold,Silicone,Gold,200,Plastic,Digital,40,World Time,Out of Stock,4,Taiwan
44735,Orient,Classic,Bambino,OR50515,4594.79,USD,27/04/2024,Women's,Titanium,38.1,9.3,Gray,Silicone,Blue,30,Sapphire,Automatic,60,GMT,Pre-Order,4,Japan
44736,Omega,Dress,Speedmaster,OM76510,654.51,USD,02/08/2020,Women's,Bronze,32.7,7.3,Blue,Silicone,Blue,100,Sapphire,Automatic,70,Date,Limited Stock,3,Switzerland
44737,Seiko,Sports,Prospex,SE31236,12952.84,USD,28/05/2021,Men's,Resin,34.7,10.2,Gold,Nylon,Black,50,Plastic,Quartz,80,None,Limited Stock,4,Japan
44738,Apple,Smartwatch,Watch Series,AP85873,6862.67,USD,07/08/2021,Women's,Aluminum,38,15,Silver,Canvas,Silver,30,Gorilla Glass,Smart,0,GMT,Limited Stock,1,China
44739,Longines,Dress,Master Collection,LO46595,5196.45,USD,09/02/2024,Unisex,Aluminum,33.4,14,Green,Mesh Steel,Silver,300,Mineral,Automatic,80,Date,In Stock,5,Switzerland
44740,Casio,Digital,G-Shock,CA47376,7524.06,USD,04/03/2022,Women's,Bioceramic,32.5,10.1,Green,Nylon,Brown,300,Sapphire,Digital,80,Chronograph,In Stock,4,Japan
44741,Longines,Dress,Master Collection,LO48921,344.05,USD,27/09/2023,Women's,Brass,35.8,8.3,Green,Silicone,Green,200,Hardlex,Automatic,0,None,In Stock,2,Switzerland
44742,Garmin,Smartwatch,Fenix,GA42359,9988.78,USD,20/12/2021,Unisex,Bronze,41.1,14.5,Blue,Rubber,Red,300,Sapphire,Digital,40,World Time,Out of Stock,5,Taiwan
44743,Tissot,Classic,Le Locle,TI71209,14476.16,USD,19/06/2025,Unisex,Stainless Steel,42,7.9,Red,Rubber,Red,100,Sapphire,Automatic,70,Moonphase,In Stock,2,Switzerland
44744,Hublot,Luxury,Big Bang,HU98083,7613.27,USD,22/03/2023,Women's,Bronze,42.7,6.9,Blue,Canvas,Black,300,Gorilla Glass,Automatic,80,None,In Stock,5,Switzerland
44745,Seiko,Sports,Prospex,SE35613,1837.76,USD,12/02/2023,Unisex,Bronze,40.7,10.8,Black,Nylon,Red,100,Mineral,Quartz,80,None,Limited Stock,1,Japan
44746,Hamilton,Military,Khaki Field,HA70709,10946.8,USD,14/03/2022,Unisex,Aluminum,38,14.2,Red,Canvas,Brown,200,Sapphire,Automatic,70,Date,In Stock,1,USA
44747,Daniel Wellington,Minimalist,Petite,DA83883,2523.18,USD,08/01/2025,Women's,Brass,32.4,9.4,Green,Rubber,Black,100,Hardlex,Quartz,80,Chronograph,Limited Stock,4,Sweden
44748,Longines,Dress,Master Collection,LO91002,4281.06,USD,14/07/2021,Men's,Resin,32.6,10.5,Silver,Canvas,Red,30,Gorilla Glass,Automatic,60,World Time,Pre-Order,1,Switzerland
44749,Orient,Classic,Bambino,OR65774,7612.55,USD,15/01/2024,Men's,Stainless Steel,34.4,11,Silver,Rubber,Blue,30,Gorilla Glass,Automatic,70,GMT,Out of Stock,5,Japan
44750,Casio,Digital,G-Shock,CA76973,802.45,USD,31/12/2020,Unisex,Bronze,38.9,8.1,Gold,Rubber,Silver,200,Hardlex,Digital,70,Moonphase,Limited Stock,3,Japan
44751,Daniel Wellington,Minimalist,Petite,DA74494,1042.05,USD,03/04/2025,Men's,Brass,34.8,6.5,Black,Silicone,Blue,200,Mineral,Quartz,0,None,Limited Stock,5,Sweden
44752,Daniel Wellington,Minimalist,Petite,DA51199,9260.38,USD,11/01/2024,Unisex,Brass,33.6,7.2,Red,Canvas,Black,50,Hardlex,Quartz,60,GMT,Out of Stock,3,Sweden
44753,Hamilton,Military,Khaki Field,HA51090,9182.87,USD,02/06/2025,Men's,Bioceramic,33.7,10.6,Gold,Canvas,Blue,200,Plastic,Automatic,80,GMT,Pre-Order,1,USA
44754,Hamilton,Military,Khaki Field,HA71965,1804.72,USD,26/05/2024,Women's,Bioceramic,39.1,8.9,Silver,Rubber,Red,100,Plastic,Automatic,0,Moonphase,Limited Stock,1,USA
44755,Apple,Smartwatch,Watch Series,AP21399,8455.46,USD,15/02/2022,Men's,Ceramic,33.5,13.8,Red,Nylon,Blue,300,Sapphire,Smart,70,World Time,In Stock,3,China
44756,Orient,Classic,Bambino,OR67165,8445.06,USD,03/06/2022,Men's,Bioceramic,41.3,7.1,Red,Canvas,Black,100,Hardlex,Automatic,0,World Time,Pre-Order,4,Japan
44757,Citizen,Eco-Drive,Promaster,CI86048,5628.88,USD,20/11/2022,Women's,Bioceramic,42.8,8.2,Green,Rubber,Blue,300,Sapphire,Solar Powered,0,None,Out of Stock,1,Japan
44758,Hamilton,Military,Khaki Field,HA75638,9578.44,USD,02/07/2024,Women's,Bronze,34.6,8.2,White,Mesh Steel,Blue,50,Mineral,Automatic,40,Date,Pre-Order,4,USA
44759,Omega,Dress,Speedmaster,OM21522,4015.41,USD,07/08/2024,Unisex,Bronze,34.3,12.9,White,Mesh Steel,Brown,300,Gorilla Glass,Automatic,40,Date,Out of Stock,1,Switzerland
44760,Tissot,Classic,Le Locle,TI41611,3176.47,USD,09/02/2024,Unisex,Stainless Steel,39.1,14.8,Green,Rubber,Blue,100,Sapphire,Automatic,0,Chronograph,Pre-Order,4,Switzerland
44761,Fossil,Fashion,Gen 6,FO27923,3199.02,USD,20/06/2022,Women's,Bioceramic,41.2,10.8,Black,Canvas,Gold,200,Mineral,Smart,60,GMT,In Stock,1,USA
44762,Hamilton,Military,Khaki Field,HA73744,3838.56,USD,06/08/2022,Unisex,Ceramic,46,9.3,Black,Silicone,Brown,50,Sapphire,Automatic,60,Chronograph,In Stock,3,USA
44763,Omega,Dress,Speedmaster,OM14521,778.4,USD,25/08/2021,Men's,Ceramic,36.6,12.7,Black,Silicone,Silver,50,Mineral,Automatic,80,World Time,In Stock,3,Switzerland
44764,Hamilton,Military,Khaki Field,HA67414,4896.67,USD,13/11/2022,Women's,Resin,41.1,9,Silver,Canvas,Silver,30,Mineral,Automatic,60,None,Limited Stock,2,USA
44765,Swatch,Fashion,MoonSwatch,SW66888,6055.85,USD,17/05/2023,Women's,Bronze,45.6,11.3,Gold,Leather,Gold,30,Gorilla Glass,Quartz,70,Date,Limited Stock,2,Switzerland
44766,Fossil,Fashion,Gen 6,FO83013,7884.58,USD,24/05/2021,Women's,Stainless Steel,38.8,14.4,Black,Mesh Steel,Black,200,Sapphire,Smart,0,Date,In Stock,5,USA
44767,Seiko,Sports,Prospex,SE85396,10268.47,USD,28/11/2022,Unisex,Brass,45.8,14.4,White,Rubber,Gold,50,Gorilla Glass,Quartz,60,GMT,In Stock,2,Japan
44768,Hamilton,Military,Khaki Field,HA63135,3211.88,USD,09/03/2025,Women's,Stainless Steel,33.5,8.9,Silver,Mesh Steel,Green,50,Plastic,Automatic,80,GMT,Out of Stock,4,USA
44769,Garmin,Smartwatch,Fenix,GA53694,10643.32,USD,02/08/2020,Unisex,Aluminum,38.9,10.1,Gray,Leather,Blue,30,Mineral,Digital,0,Chronograph,Out of Stock,4,Taiwan
44770,Garmin,Smartwatch,Fenix,GA86202,5655.23,USD,03/01/2022,Women's,Aluminum,45.2,6.8,Black,Canvas,Brown,200,Mineral,Digital,70,Chronograph,In Stock,5,Taiwan
44771,Garmin,Smartwatch,Fenix,GA98290,9602.01,USD,04/08/2020,Men's,Bronze,35.4,13.8,Silver,Mesh Steel,Gold,100,Mineral,Digital,0,World Time,Out of Stock,2,Taiwan
44772,Apple,Smartwatch,Watch Series,AP34022,9448.09,USD,08/02/2021,Unisex,Resin,40,10.2,Silver,Leather,Brown,30,Plastic,Smart,60,GMT,In Stock,3,China
44773,Citizen,Eco-Drive,Promaster,CI59127,1157.91,USD,30/07/2022,Women's,Bronze,44.6,14,Black,Nylon,Blue,300,Gorilla Glass,Solar Powered,70,None,Limited Stock,5,Japan
44774,Swatch,Fashion,MoonSwatch,SW71213,4753.8,USD,09/07/2022,Unisex,Aluminum,42.2,8.6,Silver,Rubber,Black,100,Hardlex,Quartz,0,Moonphase,Pre-Order,4,Switzerland
44775,Daniel Wellington,Minimalist,Petite,DA89849,6622.58,USD,28/10/2022,Unisex,Titanium,35.7,11.6,Blue,Nylon,Gold,50,Sapphire,Quartz,80,Moonphase,Out of Stock,4,Sweden
44776,Longines,Dress,Master Collection,LO38269,12605.96,USD,15/12/2021,Men's,Aluminum,38,13.8,White,Silicone,Green,50,Mineral,Automatic,40,GMT,Pre-Order,1,Switzerland
44777,Swatch,Fashion,MoonSwatch,SW90932,10808.72,USD,17/08/2024,Women's,Resin,34.6,10.4,Gray,Mesh Steel,Black,300,Mineral,Quartz,0,Date,Limited Stock,1,Switzerland
44778,TAG Heuer,Sports,Carrera,TA70673,9136.09,USD,14/03/2023,Women's,Ceramic,42.2,8.6,White,Rubber,Green,30,Sapphire,Automatic,70,GMT,Out of Stock,5,Switzerland
44779,Hamilton,Military,Khaki Field,HA73826,4139.31,USD,18/11/2021,Men's,Aluminum,44.4,14.2,Green,Nylon,Black,30,Sapphire,Automatic,80,Date,Out of Stock,2,USA
44780,Hamilton,Military,Khaki Field,HA56851,7095.32,USD,26/09/2020,Unisex,Brass,44.5,14.2,Red,Leather,Blue,50,Plastic,Automatic,40,World Time,Limited Stock,5,USA
44781,Timex,Casual,Weekender,TI71217,11760.21,USD,28/09/2020,Unisex,Titanium,38,10.5,Blue,Canvas,Silver,100,Mineral,Quartz,60,None,Out of Stock,1,USA
44782,Longines,Dress,Master Collection,LO75166,11619.53,USD,20/07/2023,Men's,Aluminum,40.1,12.3,Green,Nylon,Blue,100,Sapphire,Automatic,70,GMT,In Stock,4,Switzerland
44783,Hublot,Luxury,Big Bang,HU51047,14581.59,USD,06/11/2024,Men's,Aluminum,33.9,9.9,Black,Rubber,Brown,300,Plastic,Automatic,40,World Time,In Stock,5,Switzerland
44784,Longines,Dress,Master Collection,LO49687,6508.68,USD,22/08/2024,Women's,Ceramic,42.9,15,Silver,Mesh Steel,Blue,30,Sapphire,Automatic,40,Chronograph,In Stock,5,Switzerland
44785,Hamilton,Military,Khaki Field,HA53324,3541.3,USD,14/06/2025,Unisex,Brass,32.2,13.6,Gold,Rubber,Silver,200,Plastic,Automatic,80,GMT,Out of Stock,4,USA
44786,Fossil,Fashion,Gen 6,FO30207,8313.96,USD,11/12/2024,Men's,Brass,38.8,9.2,Red,Leather,Black,300,Mineral,Smart,40,Date,In Stock,2,USA
44787,Casio,Digital,G-Shock,CA51370,10288.42,USD,03/10/2021,Women's,Ceramic,38.4,11.6,Gold,Rubber,Brown,300,Gorilla Glass,Digital,80,Date,In Stock,3,Japan
44788,Casio,Digital,G-Shock,CA16451,8036.19,USD,29/03/2023,Women's,Brass,39.5,14.5,Silver,Canvas,Silver,200,Sapphire,Digital,60,Chronograph,Out of Stock,5,Japan
44789,Montblanc,Luxury,1858 Geosphere,MO45610,4886.32,USD,08/03/2025,Men's,Titanium,45.6,6.6,Blue,Silicone,Black,300,Sapphire,Automatic,60,GMT,Pre-Order,2,Switzerland
44790,Fossil,Fashion,Gen 6,FO54760,2392.8,USD,16/07/2024,Men's,Resin,36.6,14.7,Gold,Leather,Gold,200,Sapphire,Smart,70,Date,In Stock,4,USA
44791,Timex,Casual,Weekender,TI14287,2983,USD,17/05/2023,Unisex,Resin,34.4,7.9,Gray,Silicone,Brown,30,Hardlex,Quartz,80,Date,Out of Stock,2,USA
44792,Garmin,Smartwatch,Fenix,GA54069,11783.17,USD,11/08/2021,Women's,Titanium,34.1,12.3,Gray,Mesh Steel,Silver,30,Sapphire,Digital,60,Moonphase,Out of Stock,3,Taiwan
44793,Longines,Dress,Master Collection,LO87908,14781.68,USD,21/09/2024,Women's,Titanium,36.9,13.1,Black,Mesh Steel,Gold,300,Hardlex,Automatic,70,GMT,Pre-Order,4,Switzerland
44794,Longines,Dress,Master Collection,LO49697,3278.92,USD,10/11/2021,Men's,Resin,43.9,12.2,Green,Silicone,Silver,30,Mineral,Automatic,40,GMT,Out of Stock,2,Switzerland
44795,Hublot,Luxury,Big Bang,HU27884,10465.1,USD,04/09/2020,Women's,Brass,36.2,7.6,Red,Nylon,Brown,300,Mineral,Automatic,60,Date,Limited Stock,1,Switzerland
44796,Casio,Digital,G-Shock,CA60088,9272.69,USD,17/07/2020,Men's,Ceramic,32.8,13.4,Black,Rubber,Brown,100,Plastic,Digital,70,GMT,Out of Stock,4,Japan
44797,Montblanc,Luxury,1858 Geosphere,MO86912,8520.41,USD,23/05/2023,Women's,Bioceramic,35.4,9.7,Blue,Nylon,Gold,100,Mineral,Automatic,40,World Time,In Stock,1,Switzerland
44798,Orient,Classic,Bambino,OR23839,14791.56,USD,26/06/2022,Women's,Bioceramic,36.5,9.7,Silver,Nylon,Brown,30,Gorilla Glass,Automatic,70,World Time,Limited Stock,5,Japan
44799,Montblanc,Luxury,1858 Geosphere,MO82759,6114.01,USD,18/12/2020,Men's,Resin,44.9,14,Blue,Leather,Black,50,Hardlex,Automatic,40,Moonphase,In Stock,1,Switzerland
44800,Seiko,Sports,Prospex,SE13148,2789.72,USD,24/01/2021,Unisex,Bioceramic,36.5,8.1,Silver,Nylon,Black,50,Sapphire,Quartz,70,GMT,Limited Stock,5,Japan
44801,Hublot,Luxury,Big Bang,HU97436,4614.29,USD,21/03/2025,Women's,Bioceramic,34.4,11.8,White,Mesh Steel,Green,100,Mineral,Automatic,70,World Time,Limited Stock,5,Switzerland
44802,Hublot,Luxury,Big Bang,HU76288,14576.2,USD,16/03/2025,Men's,Brass,38.5,9.6,White,Leather,Green,30,Sapphire,Automatic,40,World Time,Limited Stock,4,Switzerland
44803,Fossil,Fashion,Gen 6,FO99104,7679.67,USD,22/11/2022,Men's,Titanium,33.7,7.3,Blue,Rubber,Blue,100,Mineral,Smart,80,World Time,Out of Stock,2,USA
44804,Orient,Classic,Bambino,OR46889,5488.74,USD,16/10/2020,Women's,Stainless Steel,39.7,13.8,White,Canvas,Red,100,Plastic,Automatic,0,World Time,Limited Stock,2,Japan
44805,Omega,Dress,Speedmaster,OM32833,14824.88,USD,06/03/2022,Men's,Bioceramic,42,11.2,Gold,Rubber,Brown,200,Sapphire,Automatic,40,Date,Out of Stock,4,Switzerland
44806,Rolex,Luxury,Oyster Perpetual,RO22625,4469.94,USD,11/02/2024,Unisex,Ceramic,44,9.3,Red,Silicone,Blue,100,Mineral,Automatic,40,World Time,Pre-Order,5,Switzerland
44807,Omega,Dress,Speedmaster,OM71936,13951.24,USD,18/06/2021,Women's,Stainless Steel,32.7,14.4,Black,Rubber,Blue,30,Gorilla Glass,Automatic,80,World Time,Out of Stock,4,Switzerland
44808,Longines,Dress,Master Collection,LO16340,10426.1,USD,13/06/2021,Men's,Bioceramic,46,14.1,Black,Silicone,Blue,100,Sapphire,Automatic,80,Chronograph,Limited Stock,4,Switzerland
44809,Daniel Wellington,Minimalist,Petite,DA10792,7689.56,USD,04/08/2022,Women's,Bioceramic,32.8,14.4,Gold,Silicone,Blue,50,Sapphire,Quartz,0,Date,Pre-Order,1,Sweden
44810,Fossil,Fashion,Gen 6,FO24620,13503.02,USD,14/09/2023,Women's,Stainless Steel,36.3,7.6,Red,Silicone,Red,50,Hardlex,Smart,80,World Time,Limited Stock,3,USA
44811,Timex,Casual,Weekender,TI42500,2491.34,USD,14/04/2023,Unisex,Ceramic,40.2,7.8,White,Rubber,Green,300,Gorilla Glass,Quartz,60,World Time,Limited Stock,3,USA
44812,Timex,Casual,Weekender,TI56146,6987.49,USD,04/11/2023,Women's,Resin,36.7,9.8,Black,Leather,Brown,30,Mineral,Quartz,40,GMT,Limited Stock,2,USA
44813,Casio,Digital,G-Shock,CA78487,7340.5,USD,27/02/2021,Women's,Aluminum,40,11.8,Black,Nylon,Brown,300,Gorilla Glass,Digital,70,None,Out of Stock,2,Japan
44814,TAG Heuer,Sports,Carrera,TA78781,4611.54,USD,08/03/2023,Men's,Bronze,34,7.2,Red,Leather,Blue,300,Gorilla Glass,Automatic,70,None,In Stock,1,Switzerland
44815,Omega,Dress,Speedmaster,OM33490,9550.12,USD,09/01/2023,Men's,Resin,42.2,14.4,Silver,Leather,Red,200,Plastic,Automatic,0,Date,Limited Stock,1,Switzerland
44816,Apple,Smartwatch,Watch Series,AP47121,70.35,USD,30/06/2023,Women's,Stainless Steel,43.2,10.7,Black,Mesh Steel,Silver,300,Mineral,Smart,70,Date,Pre-Order,4,China
44817,Omega,Dress,Speedmaster,OM13772,10956.5,USD,06/06/2025,Unisex,Stainless Steel,38.9,10.7,Silver,Silicone,Blue,50,Plastic,Automatic,40,World Time,Pre-Order,5,Switzerland
44818,Fossil,Fashion,Gen 6,FO36221,4717.59,USD,03/05/2023,Unisex,Bronze,39.2,7.1,Blue,Silicone,Brown,100,Mineral,Smart,60,World Time,In Stock,4,USA
44819,Montblanc,Luxury,1858 Geosphere,MO82983,6918,USD,16/05/2024,Women's,Bronze,43.6,13.1,Gray,Rubber,Blue,100,Sapphire,Automatic,0,GMT,Pre-Order,1,Switzerland
44820,Daniel Wellington,Minimalist,Petite,DA76143,13087.18,USD,25/10/2023,Unisex,Stainless Steel,45.3,13.4,Gray,Mesh Steel,Green,300,Hardlex,Quartz,60,None,Limited Stock,5,Sweden
44821,Daniel Wellington,Minimalist,Petite,DA75663,8620.56,USD,11/05/2024,Unisex,Stainless Steel,38.9,10,Gray,Silicone,Blue,300,Gorilla Glass,Quartz,80,Chronograph,Out of Stock,4,Sweden
44822,TAG Heuer,Sports,Carrera,TA59853,9984.71,USD,14/09/2023,Women's,Ceramic,32.8,13.6,Gold,Rubber,Brown,200,Plastic,Automatic,80,GMT,Limited Stock,1,Switzerland
44823,TAG Heuer,Sports,Carrera,TA99943,3392.64,USD,01/08/2023,Unisex,Resin,42.4,12.2,White,Rubber,Brown,300,Plastic,Automatic,60,None,Limited Stock,2,Switzerland
44824,Omega,Dress,Speedmaster,OM98816,10353.73,USD,21/01/2021,Women's,Ceramic,32.6,7.3,Blue,Leather,Red,30,Plastic,Automatic,60,World Time,In Stock,2,Switzerland
44825,Hublot,Luxury,Big Bang,HU13328,9122.91,USD,09/06/2024,Women's,Brass,39.3,13,Green,Mesh Steel,Brown,50,Hardlex,Automatic,60,Moonphase,Pre-Order,4,Switzerland
44826,Montblanc,Luxury,1858 Geosphere,MO21075,117.37,USD,10/04/2021,Women's,Bioceramic,42.4,9.4,Gray,Canvas,Red,100,Mineral,Automatic,80,World Time,Pre-Order,5,Switzerland
44827,Hamilton,Military,Khaki Field,HA38139,10177.11,USD,28/04/2021,Men's,Stainless Steel,42.5,9.2,Silver,Mesh Steel,Green,50,Gorilla Glass,Automatic,0,None,Pre-Order,2,USA
44828,TAG Heuer,Sports,Carrera,TA79756,1845.34,USD,14/05/2025,Unisex,Stainless Steel,36.3,14.4,Black,Leather,Green,300,Sapphire,Automatic,80,World Time,Limited Stock,4,Switzerland
44829,Seiko,Sports,Prospex,SE91602,9462.06,USD,16/03/2021,Women's,Stainless Steel,42.5,7.5,Blue,Mesh Steel,Green,50,Mineral,Quartz,0,World Time,Out of Stock,3,Japan
44830,Hamilton,Military,Khaki Field,HA60265,13064.2,USD,19/11/2022,Women's,Resin,33.5,8.5,Red,Canvas,Blue,30,Gorilla Glass,Automatic,0,Date,Out of Stock,5,USA
44831,Hamilton,Military,Khaki Field,HA79141,11249.36,USD,23/12/2024,Men's,Bronze,37.4,14.2,Silver,Silicone,Silver,300,Mineral,Automatic,0,Date,Out of Stock,5,USA
44832,Seiko,Sports,Prospex,SE69676,1279.93,USD,18/06/2022,Women's,Bronze,45,13.7,White,Canvas,Green,30,Gorilla Glass,Quartz,60,Moonphase,In Stock,5,Japan
44833,Daniel Wellington,Minimalist,Petite,DA47877,3783.25,USD,15/01/2022,Men's,Stainless Steel,33.8,8.8,Green,Leather,Red,200,Mineral,Quartz,70,None,Pre-Order,1,Sweden
44834,Apple,Smartwatch,Watch Series,AP16623,2699.81,USD,11/03/2025,Unisex,Brass,36.7,10,Gold,Nylon,Red,200,Plastic,Smart,40,Moonphase,In Stock,3,China
44835,Daniel Wellington,Minimalist,Petite,DA73179,8155.81,USD,05/04/2024,Unisex,Ceramic,42.1,7.5,Black,Canvas,Black,30,Gorilla Glass,Quartz,80,GMT,Out of Stock,1,Sweden
44836,Swatch,Fashion,MoonSwatch,SW39611,7558.17,USD,28/01/2021,Women's,Stainless Steel,34.8,10.8,Silver,Silicone,Red,50,Sapphire,Quartz,80,World Time,In Stock,5,Switzerland
44837,TAG Heuer,Sports,Carrera,TA10730,6234.22,USD,23/03/2023,Women's,Bronze,35.1,7.2,Blue,Mesh Steel,Black,100,Sapphire,Automatic,70,Date,Limited Stock,3,Switzerland
44838,Hamilton,Military,Khaki Field,HA23076,5963.57,USD,07/05/2021,Women's,Bronze,45,11.2,Gold,Rubber,Green,30,Sapphire,Automatic,60,Moonphase,In Stock,4,USA
44839,Garmin,Smartwatch,Fenix,GA81745,5976.07,USD,11/10/2022,Men's,Titanium,38,12.5,Blue,Canvas,Blue,200,Plastic,Digital,60,World Time,In Stock,1,Taiwan
44840,Tissot,Classic,Le Locle,TI41908,5572.08,USD,29/12/2024,Unisex,Stainless Steel,41.4,14.1,White,Nylon,Gold,50,Mineral,Automatic,70,World Time,Pre-Order,2,Switzerland
44841,TAG Heuer,Sports,Carrera,TA12769,1574.21,USD,09/10/2021,Unisex,Aluminum,35.1,13.9,Silver,Rubber,Silver,200,Gorilla Glass,Automatic,40,Date,Pre-Order,3,Switzerland
44842,Garmin,Smartwatch,Fenix,GA82452,13194.15,USD,13/09/2024,Women's,Bronze,40.1,7.1,Red,Canvas,Gold,300,Plastic,Digital,0,None,Limited Stock,3,Taiwan
44843,Citizen,Eco-Drive,Promaster,CI20262,1872.45,USD,05/11/2021,Men's,Stainless Steel,34.8,12.6,Black,Canvas,Red,200,Sapphire,Solar Powered,70,World Time,Pre-Order,3,Japan
44844,Hamilton,Military,Khaki Field,HA44918,9070.23,USD,22/01/2024,Women's,Ceramic,38.9,12.7,White,Canvas,Red,200,Gorilla Glass,Automatic,0,Date,Limited Stock,3,USA
44845,Omega,Dress,Speedmaster,OM59316,12360.58,USD,30/03/2025,Women's,Resin,45.8,9.3,Red,Leather,Brown,100,Hardlex,Automatic,0,World Time,Out of Stock,2,Switzerland
44846,Citizen,Eco-Drive,Promaster,CI69701,1361.58,USD,26/12/2022,Men's,Stainless Steel,32,13.5,Gold,Canvas,Gold,300,Plastic,Solar Powered,80,World Time,Limited Stock,1,Japan
44847,Citizen,Eco-Drive,Promaster,CI23041,13435.62,USD,15/10/2023,Men's,Bioceramic,34.4,11.1,Black,Silicone,Black,200,Sapphire,Solar Powered,40,None,In Stock,1,Japan
44848,Garmin,Smartwatch,Fenix,GA32215,3957.17,USD,07/05/2024,Men's,Brass,39.4,14.8,Gray,Canvas,Black,300,Sapphire,Digital,0,Moonphase,In Stock,4,Taiwan
44849,Rolex,Luxury,Oyster Perpetual,RO62382,8343.57,USD,06/02/2023,Men's,Bronze,37.6,15,Green,Canvas,Green,300,Sapphire,Automatic,80,Date,In Stock,4,Switzerland
44850,Orient,Classic,Bambino,OR91306,2550.81,USD,18/08/2024,Women's,Resin,32.1,11.3,Gold,Leather,Blue,300,Hardlex,Automatic,0,Date,Pre-Order,1,Japan
44851,Daniel Wellington,Minimalist,Petite,DA73625,9248.38,USD,04/04/2025,Men's,Bronze,42.7,7.9,Gray,Mesh Steel,Blue,300,Mineral,Quartz,0,World Time,In Stock,2,Sweden
44852,Longines,Dress,Master Collection,LO23563,3641.79,USD,19/01/2024,Women's,Bronze,41.6,12.9,Black,Leather,Silver,300,Hardlex,Automatic,60,World Time,Limited Stock,3,Switzerland
